client_code;product_name;top;push_notification
1;Премиальная карта;1;"Айгерим, прогулки по Алматы — это прекрасно, но почему бы не добавить к ним кешбэк? 🌟 Премиальная карта вернёт до 293 154 ₸ в год на ваших покупках. Настроим карту — и пусть кешбэк работает?"
1;Кредитная карта;2;"Айгерим, осень в Алматы — время уютных кафешек и гастрономических открытий 🍂 А знаете, что до 804 458 ₸ в год можно вернуть кешбэком на любимые продукты, кафе и путешествия с кредитной картой? Настроим карту и пусть кешбэк работает!"
1;Кредит наличными;3;"Айгерим, в Алматы осень — время уютных вечеров и новых планов 🍂 А кредит наличными до 2 000 000 ₸ с выгодной ставкой сэкономит вам 80 000 ₸ в год. Оформим онлайн или за чашкой кофе в отделении?"
1;Депозит Сберегательный (защита KDIF);4;"Айгерим, осень в Алматы — время уютных планов и тёплого чая 🍂 А как насчёт планов для ваших сбережений? Депозит под 16,5% принесёт +16 500 ₸ за год с 100 000 ₸. Готовы «заморозить» средства ради дохода? 😊"
2;Премиальная карта;1;"Данияр, в Астане осень — время ресторанов и уютных вечеров 🍂 А с премиальной картой вы вернёте до 292 161 ₸ кешбэком в год: 4% на рестораны, ювелирку и парфюмерию. Настроим карту?"
2;Кредитная карта;2;"Данияр, кажется, в Астане вкусно жить: за 3 месяца на продукты и кафе ушло 1 588 916 ₸ 😋 Наша кредитная карта вернёт до 843 922 ₸ кешбэком в год. Настроим карту — и пусть кешбэк работает?"
2;Кредит наличными;3;"Данияр, осень в Астане — время тёплого чая и больших планов 🍂 А если на планы нужно чуть больше свободы, кредит наличными до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год. Как думаете, попробовать?"
2;Депозит Сберегательный (защита KDIF);4;"Данияр, у вас в Астане осень такая красивая, что хочется замереть и наслаждаться 🍂 А что, если «заморозить» 100 000 ₸ на депозите под 16,5%? Доход — 16 500 ₸ за год. Отличная идея, правда? Настроим?"
3;Премиальная карта;1;"Сабина, в Алматы осень — время уютных кафе и красивых видов 🌆 Премиальная карта добавит к этому 180 780 ₸ кешбэком в год и экономией на комиссиях. Настроим карту — и пусть кешбэк работает!"
3;Кредитная карта;2;"Сабина, кажется, студенческая жизнь в Алматы — это искусство сочетать вкусные кафе, такси до учёбы и закупки еды 🍲 С нашей кредитной картой вернёте до 582 800 ₸ кешбэком в год. Настроим карту и пусть кешбэк работает?"
